"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","conflict","connectedness","instrumentality"
"AQMLJYUQCSG22","1.00","2.33","2.00","1.00","0.00","2.33","0.94","1.00","0.00","2.33","0.47","-1.33","-1.33","2.00","1.33","2.00"
"ARQR5NIFA1AJ","2.50","1.33","2.00","2.50","1.18","1.33","0.47","2.50","1.65","1.33","0.00","1.17","1.17","2.00","4.00","4.33"
"AS2MFSWNC5CQI","1.00","1.50","2.50","1.00","0.00","1.50","0.86","1.00","0.00","1.50","0.86","-0.50","-0.50","2.75","3.00","4.50"
"AS6FM754MF2B2","1.83","1.92","2.50","1.84","1.44","1.92","1.59","1.84","1.44","1.92","1.59","-0.08","-0.08","4.00","5.25","5.25"
"ASY5W2HJPIPF4","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","2.50","1.50"
"AT6LDQNLKTUSE","4.00","3.50","1.50","4.00","NA","3.50","NA","4.00","NA","3.50","NA","0.50","0.50","3.00","4.00","6.00"
"AU34T9OMHN4Z4","2.00","1.00","2.00","2.00","1.41","1.00","0.00","2.00","1.41","1.00","0.00","1.00","1.00","1.00","5.00","6.33"
"AUQTHU5AOZVQC","4.15","1.35","3.00","4.15","2.28","1.35","0.46","4.15","2.49","1.35","0.59","2.80","2.80","2.40","5.80","7.00"
"AVKMFV9CZ0MLR","7.00","1.00","3.00","7.00","0.00","1.00","0.00","7.00","0.00","1.00","0.00","6.00","6.00","2.20","7.00","7.00"
"AWTGJ45ZWUCHH","1.75","1.45","3.00","1.75","0.57","1.45","0.90","1.75","1.50","1.45","0.57","0.30","0.30","1.00","2.40","5.20"
"AWVLT2L5AP873","1.50","2.33","2.00","1.50","0.71","2.33","1.89","1.50","0.71","2.33","1.89","-0.83","-0.83","3.67","3.00","5.00"
"AXF0OX50YZQC6","4.60","1.00","3.00","4.60","2.40","1.00","0.00","4.60","2.40","1.00","0.00","3.60","3.60","1.00","6.60","7.00"
"AY4E4CDN0J6JL","1.50","1.42","2.50","1.50","0.86","1.42","0.29","1.50","0.68","1.42","0.72","0.08","0.08","1.50","1.00","4.25"
"AY5QPUSEADPBG","4.00","5.00","1.50","4.00","NA","5.00","NA","4.00","NA","5.00","NA","-1.00","-1.00","4.50","4.00","4.00"
"AYA1LRB27KSR1","5.80","1.60","3.00","5.80","1.50","1.60","0.86","5.80","1.89","1.60","1.20","4.20","4.20","1.20","5.40","7.00"
"AYNDATHZBJZ6E","2.67","2.33","2.00","2.67","0.47","2.33","0.47","2.67","0.94","2.33","0.47","0.33","0.33","2.33","3.67","6.33"
"AYPOAY43REHC8","4.60","1.00","3.00","4.60","2.40","1.00","0.00","4.60","2.58","1.00","0.00","3.60","3.60","1.00","4.60","7.00"
