"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"AJMWITY1XT7H7",4.83,2.08,3,6.33,1.15,1,0,5.67,1.15,1,0,5.33,4.67,4,3,2,"short-term",1,6,4
"AJMWITY1XT7H7",4.83,2.08,4,4.33,2.52,3,2,3,3.46,3.33,3.21,1.33,-0.33,4,2,2,"recurrance",4,5,4
"A1J9Z2VOHTT1UZ",4,1.67,1,4,0,2,0,5,2.83,1.5,0.71,2,3.5,3,2,3,"recurrance",2,7,7
"A1J9Z2VOHTT1UZ",4,1.67,2,6,1.41,1,0,2.5,2.12,2,0,5,0.5,3,1,3,"recurrance",2,5,7
"A1J9Z2VOHTT1UZ",4,1.67,3,2,1.41,2,0,4.5,0.71,1.5,0.71,0,3,3,3,3,"recurrance",2,2,2
"A3U2S6OPJNS4AQ",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"short-term",1,6,6
"AYPOAY43REHC8",4.6,1,1,7,0,1,0,7,0,1,0,6,6,5,1,5,"long-term",1,4,7
"AYPOAY43REHC8",4.6,1,2,5.5,3,1,0,4,3.46,1,0,4.5,3,5,3,5,"short-term",1,7,7
"AYPOAY43REHC8",4.6,1,3,5.5,3,1,0,2.5,3,1,0,4.5,1.5,5,4,5,"recurrance",1,4,7
"AYPOAY43REHC8",4.6,1,4,2.5,3,1,0,5.5,3,1,0,1.5,4.5,5,2,5,"recurrance",1,4,7
"AYPOAY43REHC8",4.6,1,5,2.5,3,1,0,4,3.46,1,0,1.5,3,5,5,5,"recurrance",1,4,7
"A3KIDRWRKC7RI5",1.35,1.7,1,1,0,1,0,1.25,0.5,1.5,1,0,-0.25,5,1,5,"long-term",1,2,3
"A3KIDRWRKC7RI5",1.35,1.7,2,2.25,2.5,1.75,0.96,1,0,2.5,1.73,0.5,-1.5,5,2,5,"short-term",4,3,5
"A3KIDRWRKC7RI5",1.35,1.7,3,1,0,1.75,1.5,1,0,2.25,1.26,-0.75,-1.25,5,4,5,"recurrance",2,2,4
"A3KIDRWRKC7RI5",1.35,1.7,4,1.25,0.5,1.5,0.58,2.5,2.38,1,0,-0.25,1.5,5,3,5,"long-term",1,5,7
"A3KIDRWRKC7RI5",1.35,1.7,5,1.25,0.5,2.5,1.73,1,0,1.25,0.5,-1.25,-0.25,5,5,5,"recurrance",4,1,2
"ABOEYY9Y0PFRI",2,2.5,1,1.5,0.71,2,0,2,1.41,2,0,-0.5,0,3,2,3,"recurrance",2,2,2
"ABOEYY9Y0PFRI",2,2.5,2,3,0,3,1.41,2,0,2.5,0.71,0,-0.5,3,1,3,"recurrance",2,3,2
"ABOEYY9Y0PFRI",2,2.5,3,1.5,0.71,2.5,0.71,2,1.41,3,1.41,-1,-1,3,3,3,"recurrance",4,2,2
"A1LJNQX4KBUXNP",1,1,1,1,0,1,0,1,0,1,0,0,0,3,1,2,"recurrance",1,1,7
"A1LJNQX4KBUXNP",1,1,2,1,0,1,0,1,0,1,0,0,0,3,2,2,"recurrance",1,7,7
"A1LJNQX4KBUXNP",1,1,3,1,0,1,0,1,0,1,0,0,0,3,3,2,"short-term",1,1,4
"ALAOEYIYW0CW7",3.45,1.35,1,6,2,1,0,3.25,0.96,1.25,0.5,5,2,5,1,5,"long-term",4,7,7
"ALAOEYIYW0CW7",3.45,1.35,2,2.75,2.87,1,0,3.25,1.71,1,0,1.75,2.25,5,5,5,"recurrance",6,6,6
"ALAOEYIYW0CW7",3.45,1.35,3,3,1.41,2,2,3.25,2.87,1.5,1,1,1.75,5,4,5,"recurrance",6,7,7
"ALAOEYIYW0CW7",3.45,1.35,4,2.75,1.5,1.5,1,3.25,2.87,2,2,1.25,1.25,5,2,5,"long-term",1,3,5
