"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base"
"A27INSDNTACWAM",4,"4",NA,"long-term","2","1"
"A286W816CMIZL9",3,"1",NA,"long-term","0","1"
"A286W816CMIZL9",3,"2",NA,"recurrance","8","3"
"A286W816CMIZL9",3,"3",NA,"recurrance","7","2"
"A28J7H4TH29DC3",3,"1","three_month","short-term","1","3"
"A28J7H4TH29DC3",3,"2",NA,"recurrance","4","3"
"A28J7H4TH29DC3",3,"3",NA,"recurrance","1","1"
"A2ASTDMWBCFIP0",2,"1","three_month","short-term","1","8"
"A2ASTDMWBCFIP0",2,"2","three_month","short-term","6","7"
"A2AT6TSPPCR106",4,"1",NA,"recurrance","1","2"
"A2AT6TSPPCR106",4,"2",NA,"recurrance","1","1"
"A2AT6TSPPCR106",4,"3",NA,"long-term","3","5"
"A2AT6TSPPCR106",4,"4",NA,"recurrance","8","5"
"A2AZYU1CT24O0K",5,"1","three_month","short-term","0","1"
"A2AZYU1CT24O0K",5,"2",NA,"recurrance","8","6"
"A2AZYU1CT24O0K",5,"3",NA,"recurrance","8","5"
"A2AZYU1CT24O0K",5,"4",NA,"long-term","0","1"
"A2AZYU1CT24O0K",5,"5",NA,"recurrance","1","2"
"A2B0FLA55RH047",4,"1",NA,"long-term","4","3"
"A2B0FLA55RH047",4,"2",NA,"recurrance","6","3"
"A2B0FLA55RH047",4,"3","two_month","short-term","7","5"
"A2B0FLA55RH047",4,"4",NA,"recurrance","9","6"
"A2BEBDMQ7SI4IY",5,"1","next_month","short-term","8","5"
"A2BEBDMQ7SI4IY",5,"2","in_weeks","short-term","9","5"
"A2BEBDMQ7SI4IY",5,"3",NA,"recurrance","5","6"
"A2BEBDMQ7SI4IY",5,"4",NA,"long-term","8","6"
"A2BEBDMQ7SI4IY",5,"5","in_weeks","short-term","9","6"
"A2BJTPZLXIGO8D",3,"1",NA,"recurrance","8","7"
"A2BJTPZLXIGO8D",3,"2",NA,"recurrance","2","2"
"A2BJTPZLXIGO8D",3,"3",NA,"recurrance","2","2"
"A2CP6MLJVJYBO7",2,"1",NA,"recurrance","6","8"
"A2CP6MLJVJYBO7",2,"2",NA,"recurrance","3","2"
"A2CYMT8T33U6EE",5,"1",NA,"recurrance","5","2"
"A2CYMT8T33U6EE",5,"2",NA,"recurrance","3","2"
"A2CYMT8T33U6EE",5,"3",NA,"recurrance","9","6"
"A2CYMT8T33U6EE",5,"4",NA,"recurrance","8","5"
"A2CYMT8T33U6EE",5,"5",NA,"recurrance","6","3"
"A2DVV59R1CQU6T",3,"1",NA,"long-term","4","8"
"A2DVV59R1CQU6T",3,"2",NA,"recurrance","10","7"
"A2DVV59R1CQU6T",3,"3",NA,"recurrance","0","2"
"A2EK1HDV4I4GSK",2,"1",NA,"long-term","1","5"
"A2EK1HDV4I4GSK",2,"2",NA,"long-term","2","6"
"A2EMTSJS47K8SU",3,"1",NA,"long-term","1","8"
"A2EMTSJS47K8SU",3,"2",NA,"recurrance","7","5"
"A2EMTSJS47K8SU",3,"3","three_month","short-term","0","8"
"A2ESBX4C2Q6TQY",5,"1","in_weeks","short-term","0","8"
"A2ESBX4C2Q6TQY",5,"2",NA,"long-term","0","1"
"A2ESBX4C2Q6TQY",5,"3",NA,"long-term","1","1"
"A2ESBX4C2Q6TQY",5,"4",NA,"long-term","1","2"
"A2ESBX4C2Q6TQY",5,"5",NA,"recurrance","0","1"
"A2F5QCUTZU7KF7",3,"1",NA,"recurrance","10","7"
"A2F5QCUTZU7KF7",3,"2",NA,"long-term","4","5"
"A2F5QCUTZU7KF7",3,"3",NA,"recurrance","10","7"
"A2FP41BSPG0Y4A",5,"1",NA,"recurrance","0","1"
"A2FP41BSPG0Y4A",5,"2",NA,"recurrance","3","8"
"A2FP41BSPG0Y4A",5,"3",NA,"long-term","3","5"
"A2FP41BSPG0Y4A",5,"4",NA,"recurrance","2","8"
"A2FP41BSPG0Y4A",5,"5","next_month","short-term","5","7"
"A2GTBBZA2M82NR",4,"1",NA,"recurrance","2","1"
"A2GTBBZA2M82NR",4,"2","in_weeks","short-term","3","2"
"A2GTBBZA2M82NR",4,"3",NA,"recurrance","1","1"
"A2GTBBZA2M82NR",4,"4",NA,"recurrance","1","1"
"A2H0VR477QHYO7",4,"1",NA,"long-term","7","6"
"A2H0VR477QHYO7",4,"2",NA,"long-term","2","1"
"A2H0VR477QHYO7",4,"3",NA,"long-term","3","3"
"A2H0VR477QHYO7",4,"4",NA,"long-term","4","3"
"A2H6Q22X1V1FTX",3,"1","three_month","short-term","2","8"
"A2H6Q22X1V1FTX",3,"2",NA,"long-term","8","2"
"A2H6Q22X1V1FTX",3,"3","three_month","short-term","1","1"
"A2H92K2776A1IC",4,"1","three_month","short-term","2","5"
"A2H92K2776A1IC",4,"2","in_weeks","short-term","7","7"
"A2H92K2776A1IC",4,"3","two_month","short-term","2","5"
"A2H92K2776A1IC",4,"4","three_month","short-term","2","5"
"A2HJYX70UQW9XR",5,"1","three_month","short-term","0","1"
"A2HJYX70UQW9XR",5,"2",NA,"recurrance","3","3"
"A2HJYX70UQW9XR",5,"3",NA,"long-term","1","1"
"A2HJYX70UQW9XR",5,"4",NA,"recurrance","4","8"
"A2HJYX70UQW9XR",5,"5",NA,"recurrance","2","2"
"A2HQMB1GSEADL",5,"1","two_month","short-term","5","8"
"A2HQMB1GSEADL",5,"2",NA,"recurrance","4","8"
"A2HQMB1GSEADL",5,"3","two_month","short-term","4","5"
"A2HQMB1GSEADL",5,"4",NA,"recurrance","2","1"
"A2HQMB1GSEADL",5,"5",NA,"recurrance","8","6"
"A2IJEKMVEHQ90W",5,"1",NA,"recurrance","3","7"
"A2IJEKMVEHQ90W",5,"2",NA,"long-term","2","1"
